customerID;jobID;bookingTime;vaTime;startX;startY;endX;endY
60;AP21907023;25.02.2014 18:01;25.02.2014 18:16;476429.0587;5552266.673;476804.0053;5552588.043
61;AP21907023;25.02.2014 18:01;25.02.2014 18:16;476802.9344;5552587.829;476670.5793;5552559.893
62;AP21916408;26.02.2014 13:12;26.02.2014 14:54;476267.5471;5552276.493;476309.4679;5552454.746
63;AP21916408;26.02.2014 13:12;26.02.2014 14:54;476698.2445;5552325.455;476407.655;5552417.207
64;AP21929191;27.02.2014 13:13;27.02.2014 13:53;476308.5975;5552459.467;475947.7209;5552284.031
65;AP21929191;27.02.2014 13:13;27.02.2014 13:53;476307.3443;5552398.165;476219.4944;5552517.592
66;AP21930333;27.02.2014 14:38;27.02.2014 14:56;476498.3559;5552748.423;476692.636;5552485.664
67;AP21930333;27.02.2014 14:38;27.02.2014 14:56;476657.0467;5552526.268;476675.0883;5552521.839
68;AP21931304;27.02.2014 15:21;27.02.2014 15:22;476662.777;5552805.287;476672.9362;5552404.755
69;AP21931304;27.02.2014 15:21;27.02.2014 15:22;476744.7318;5552646.978;476630.1785;5552929.528
70;AP21942092;28.02.2014 13:31;28.02.2014 14:18;476715.0772;5552410.387;476327.9323;5552253.354
71;AP21942092;28.02.2014 13:31;28.02.2014 14:18;476578.6141;5552745.462;476575.2787;5552538.549
72;AP21944700;28.02.2014 16:49;28.02.2014 16:51;476599.8368;5552656.52;476850.4856;5552710.52
73;AP21944700;28.02.2014 16:49;28.02.2014 16:51;476418.0472;5552521.421;476647.4402;5552297.773
74;AP21951914;01.03.2014 12:25;01.03.2014 12:26;476402.979;5552222.034;476272.7443;5552246.479
75;AP21951914;01.03.2014 12:25;01.03.2014 12:26;476069.0264;5552213.597;476047.4999;5552417.966
76;AP21962618;02.03.2014 15:09;02.03.2014 15:15;476050.4338;5552194.449;476545.14;5552442.812
77;AP21962618;02.03.2014 15:09;02.03.2014 15:15;476427.3762;5552211.582;476547.4313;5552758.804
78;AP21963391;02.03.2014 16:21;02.03.2014 16:26;476922.222;5552818.771;476036.8135;5552191.979
79;AP21963391;02.03.2014 16:21;02.03.2014 16:26;476600.6063;5552544.576;476045.1145;5552330.342
80;AP21963647;02.03.2014 16:46;02.03.2014 17:19;476564.9289;5552859.329;476502.7066;5552757.799
81;AP21963647;02.03.2014 16:46;02.03.2014 17:19;476447.253;5552608.947;476438.4217;5552210.312
82;AP21976971;03.03.2014 19:00;03.03.2014 19:05;476398.7584;5552452.156;476452.1544;5552333.953
83;AP21976971;03.03.2014 19:00;03.03.2014 19:05;476241.7504;5552397.83;476353.4396;5552250.909
84;AP21978223;03.03.2014 20:59;03.03.2014 21:04;476069.251;5552197.864;476038.8042;5552375.992
85;AP21978223;03.03.2014 20:59;03.03.2014 21:04;476124.6532;5552211.571;476336.9566;5552250.192
86;AP21981707;04.03.2014 09:11;04.03.2014 09:13;476066.3572;5552227.23;476167.5443;5552222.425
87;AP21981707;04.03.2014 09:11;04.03.2014 09:13;476193.6996;5552301.528;476306.4637;5552471.039
88;AP21983567;04.03.2014 11:38;04.03.2014 12:16;476529.0711;5552360.859;476422.9205;5552213.491
89;AP21983567;04.03.2014 11:38;04.03.2014 12:16;476684.8198;5552266.041;476223.0543;5552482.498
90;AP21988812;04.03.2014 17:52;04.03.2014 18:08;476427.6528;5552275.137;476321.2151;5552487.626
91;AP21988812;04.03.2014 17:52;04.03.2014 18:08;476531.1171;5552462.321;476598.5213;5552259.456
92;AP21991954;04.03.2014 22:24;04.03.2014 22:37;476200.1134;5552376.907;476234.4085;5552386.58
93;AP21991954;04.03.2014 22:24;04.03.2014 22:37;476432.1942;5552247.799;476361.7843;5552407.862
94;AP21996913;05.03.2014 11:53;05.03.2014 13:56;476493.924;5552738.873;476784.8699;5553004.856
95;AP21996913;05.03.2014 11:53;05.03.2014 13:56;476648.9223;5552263.349;476783.2508;5552499.2
96;AP21997175;05.03.2014 12:16;05.03.2014 12:19;476353.6671;5552317.392;476725.1494;5552692.887
97;AP21997175;05.03.2014 12:16;05.03.2014 12:19;476426.091;5552284.538;476698.8464;5552282.068
98;AP22003412;05.03.2014 18:58;05.03.2014 19:00;476318.2843;5552406.936;476012.8915;5552320.068
